Training_ID,Employee_ID,Course_Name,Provider,Completion_Date,Duration_Hrs,Score_Pct,Certified
TRN00712,EMP0221,Python for Data,Internal L&D,2023-04-15,20,86,Yes
TRN00713,EMP0222,Communication Skills,Internal L&D,2025-10-26,12,89,No
TRN00714,EMP0222,Excel Advanced,Udemy,2023-10-23,12,95,Yes
TRN00715,EMP0222,Cloud AWS,LinkedIn Learning,2025-05-24,40,83,Yes
TRN00716,EMP0222,ML Fundamentals,Pluralsight,2025-05-25,20,68,Yes
TRN00717,EMP0222,Design Thinking,Internal L&D,2023-04-07,24,71,No
TRN00718,EMP0223,Power BI,LinkedIn Learning,2024-09-28,24,66,Yes
TRN00719,EMP0223,DevOps CI/CD,Coursera,2025-04-28,12,86,Yes
TRN00720,EMP0224,SQL Mastery,Internal L&D,2025-10-04,16,92,Yes
TRN00721,EMP0224,Leadership 101,Pluralsight,2024-09-30,4,80,No
TRN00722,EMP0224,Communication Skills,LinkedIn Learning,2025-12-21,4,75,Yes
TRN00723,EMP0225,React JS,LinkedIn Learning,2024-05-16,24,69,Yes
TRN00724,EMP0225,Cloud AWS,Internal L&D,2025-01-20,12,74,Yes
TRN00725,EMP0225,Leadership 101,Internal L&D,2023-08-21,12,74,No
TRN00726,EMP0225,DevOps CI/CD,Coursera,2024-06-04,16,64,No
TRN00727,EMP0226,DevOps CI/CD,LinkedIn Learning,2024-04-29,40,67,Yes
TRN00728,EMP0226,React JS,Pluralsight,2023-08-17,12,86,Yes
TRN00729,EMP0227,Excel Advanced,LinkedIn Learning,2024-08-11,24,64,Yes
TRN00730,EMP0228,Data Visualization,Internal L&D,2024-10-21,20,88,No
TRN00731,EMP0228,Leadership 101,Internal L&D,2025-11-10,4,87,No
TRN00732,EMP0229,Cloud AWS,Internal L&D,2024-07-25,4,89,Yes
TRN00733,EMP0229,DevOps CI/CD,Internal L&D,2026-03-14,4,62,Yes
TRN00734,EMP0229,Leadership 101,Coursera,2023-11-15,8,78,No
TRN00735,EMP0229,ML Fundamentals,Pluralsight,2023-04-24,12,85,No
TRN00736,EMP0230,SQL Mastery,Pluralsight,2025-12-18,12,97,Yes
TRN00737,EMP0230,DevOps CI/CD,Coursera,2024-10-29,12,97,Yes
TRN00738,EMP0231,Power BI,Coursera,2025-09-21,8,72,Yes
TRN00739,EMP0232,DevOps CI/CD,Coursera,2024-11-06,20,98,Yes
TRN00740,EMP0232,Excel Advanced,Coursera,2025-08-01,12,63,No
TRN00741,EMP0232,Leadership 101,Coursera,2023-12-28,4,63,No
TRN00742,EMP0233,Power BI,LinkedIn Learning,2024-06-02,4,61,No
TRN00743,EMP0234,Design Thinking,Coursera,2025-04-21,24,93,No
TRN00744,EMP0234,Python for Data,Pluralsight,2025-01-13,4,84,No
TRN00745,EMP0234,Agile & Scrum,Coursera,2025-09-03,16,82,Yes
TRN00746,EMP0235,SQL Mastery,Udemy,2025-03-13,4,81,No
TRN00747,EMP0235,Cloud AWS,Coursera,2025-03-25,4,77,Yes
TRN00748,EMP0235,ML Fundamentals,Internal L&D,2025-12-02,4,69,Yes
TRN00749,EMP0236,Design Thinking,Internal L&D,2023-11-27,4,81,Yes
TRN00750,EMP0236,Agile & Scrum,Coursera,2023-09-15,24,87,Yes
TRN00751,EMP0236,ML Fundamentals,Internal L&D,2023-10-20,12,73,No
TRN00752,EMP0237,Agile & Scrum,Coursera,2025-08-16,12,60,No
TRN00753,EMP0237,Cloud AWS,Internal L&D,2024-04-22,12,82,Yes
TRN00754,EMP0237,SQL Mastery,Coursera,2023-06-18,16,72,No
TRN00755,EMP0237,Python for Data,Coursera,2024-04-22,8,60,No
TRN00756,EMP0237,Communication Skills,Udemy,2025-01-24,24,62,No
TRN00757,EMP0238,React JS,Udemy,2024-12-11,4,95,No
TRN00758,EMP0238,Cybersecurity Basics,Coursera,2025-08-30,24,97,Yes
TRN00759,EMP0238,DevOps CI/CD,LinkedIn Learning,2024-07-20,40,75,No
TRN00760,EMP0239,SQL Mastery,Coursera,2024-08-04,40,64,Yes
TRN00761,EMP0240,Design Thinking,Pluralsight,2026-02-03,4,70,No
TRN00762,EMP0240,Python for Data,Coursera,2024-01-08,24,71,No
TRN00763,EMP0240,React JS,LinkedIn Learning,2023-09-10,12,97,No
TRN00764,EMP0241,Leadership 101,Udemy,2024-12-06,24,81,Yes
TRN00765,EMP0241,Design Thinking,Udemy,2025-07-13,16,76,Yes
TRN00766,EMP0241,Data Visualization,Internal L&D,2024-08-15,20,87,No
TRN00767,EMP0241,Cloud AWS,Internal L&D,2024-10-27,20,64,Yes
TRN00768,EMP0241,Power BI,Coursera,2025-02-18,4,70,Yes
TRN00769,EMP0242,Leadership 101,Coursera,2025-08-25,16,90,No
TRN00770,EMP0242,React JS,Pluralsight,2026-02-27,8,84,No
TRN00771,EMP0242,Cloud AWS,Internal L&D,2026-02-08,4,60,No
TRN00772,EMP0242,Agile & Scrum,Coursera,2026-02-14,24,68,No
TRN00773,EMP0243,ML Fundamentals,Pluralsight,2024-07-05,24,82,Yes
TRN00774,EMP0244,Agile & Scrum,Coursera,2025-04-02,16,96,Yes
TRN00775,EMP0244,Cybersecurity Basics,Coursera,2024-04-09,24,75,No
TRN00776,EMP0245,SQL Mastery,Udemy,2023-05-09,4,88,Yes
TRN00777,EMP0245,React JS,Pluralsight,2025-01-31,24,67,Yes
TRN00778,EMP0245,Cybersecurity Basics,Internal L&D,2025-07-05,4,95,No
TRN00779,EMP0245,Communication Skills,Pluralsight,2025-08-19,40,67,Yes
TRN00780,EMP0246,ML Fundamentals,LinkedIn Learning,2023-04-09,24,75,Yes
TRN00781,EMP0247,Leadership 101,Internal L&D,2025-12-21,8,86,Yes
TRN00782,EMP0247,Power BI,Pluralsight,2025-08-07,8,73,Yes
TRN00783,EMP0247,React JS,Pluralsight,2025-03-15,4,85,No
TRN00784,EMP0247,Design Thinking,Internal L&D,2026-01-10,16,60,No
TRN00785,EMP0247,Project Management,LinkedIn Learning,2023-05-16,20,61,Yes
TRN00786,EMP0248,React JS,Pluralsight,2023-07-24,20,73,Yes
TRN00787,EMP0248,Python for Data,Internal L&D,2024-04-22,12,63,Yes
TRN00788,EMP0248,Power BI,LinkedIn Learning,2025-05-04,16,78,No
TRN00789,EMP0249,Excel Advanced,Pluralsight,2024-11-15,40,64,Yes
TRN00790,EMP0250,Agile & Scrum,Internal L&D,2023-07-13,12,60,Yes
TRN00791,EMP0250,Communication Skills,Pluralsight,2023-07-01,16,85,Yes
TRN00792,EMP0250,SQL Mastery,Pluralsight,2023-12-02,40,100,Yes
TRN00793,EMP0251,Excel Advanced,Internal L&D,2026-01-10,20,76,Yes
TRN00794,EMP0251,ML Fundamentals,Udemy,2024-01-05,40,65,No
TRN00795,EMP0251,Agile & Scrum,Internal L&D,2024-10-28,20,65,Yes
TRN00796,EMP0252,Communication Skills,Coursera,2023-06-28,12,72,No
TRN00797,EMP0252,Project Management,LinkedIn Learning,2024-05-17,24,66,No
TRN00798,EMP0252,Data Visualization,Internal L&D,2025-03-31,24,68,Yes
TRN00799,EMP0252,Design Thinking,Pluralsight,2025-01-24,4,94,Yes
TRN00800,EMP0253,Communication Skills,Udemy,2025-08-22,16,78,No
TRN00801,EMP0253,Python for Data,Internal L&D,2025-04-12,16,90,No
TRN00802,EMP0253,Agile & Scrum,Udemy,2025-01-30,4,80,Yes
TRN00803,EMP0253,Excel Advanced,LinkedIn Learning,2026-01-11,12,72,Yes
TRN00804,EMP0253,React JS,Internal L&D,2023-04-08,20,66,Yes
TRN00805,EMP0254,Project Management,Pluralsight,2023-07-06,40,61,Yes
TRN00806,EMP0255,ML Fundamentals,Coursera,2024-08-28,24,69,Yes
TRN00807,EMP0255,SQL Mastery,Pluralsight,2024-02-11,40,75,No
TRN00808,EMP0255,Python for Data,Coursera,2025-07-13,4,98,Yes
TRN00809,EMP0255,React JS,Pluralsight,2025-11-11,12,91,No
TRN00810,EMP0256,DevOps CI/CD,Internal L&D,2025-06-30,4,96,Yes
TRN00811,EMP0257,DevOps CI/CD,LinkedIn Learning,2023-07-13,12,74,No
TRN00812,EMP0257,Communication Skills,Internal L&D,2023-09-06,16,69,Yes
TRN00813,EMP0257,Cloud AWS,Udemy,2025-11-15,24,88,Yes
TRN00814,EMP0257,Design Thinking,Internal L&D,2023-11-06,4,81,No
TRN00815,EMP0258,Leadership 101,Internal L&D,2023-05-15,24,71,No
TRN00816,EMP0259,Data Visualization,Udemy,2023-10-09,24,93,No
TRN00817,EMP0259,Cybersecurity Basics,Internal L&D,2026-02-07,40,85,No
TRN00818,EMP0259,DevOps CI/CD,Pluralsight,2024-06-23,40,72,No
TRN00819,EMP0259,Excel Advanced,LinkedIn Learning,2025-03-27,8,98,Yes
TRN00820,EMP0260,Python for Data,Pluralsight,2025-09-24,16,65,No
TRN00821,EMP0260,Leadership 101,LinkedIn Learning,2024-09-09,8,74,No
TRN00822,EMP0260,Agile & Scrum,Udemy,2025-05-18,40,62,Yes
TRN00823,EMP0260,ML Fundamentals,Pluralsight,2025-02-08,16,81,Yes
TRN00824,EMP0260,Cloud AWS,Internal L&D,2024-12-22,16,85,Yes
TRN00825,EMP0261,ML Fundamentals,Udemy,2024-09-09,8,96,Yes
TRN00826,EMP0262,Leadership 101,LinkedIn Learning,2024-03-10,24,91,No
TRN00827,EMP0263,React JS,LinkedIn Learning,2025-07-02,24,65,No
TRN00828,EMP0263,Agile & Scrum,Coursera,2024-02-26,4,87,No
TRN00829,EMP0264,Cybersecurity Basics,Internal L&D,2023-07-05,4,61,No
TRN00830,EMP0264,Python for Data,Internal L&D,2025-01-14,20,99,No
TRN00831,EMP0264,ML Fundamentals,Pluralsight,2024-02-27,24,79,Yes
TRN00832,EMP0264,Excel Advanced,LinkedIn Learning,2025-08-16,12,95,Yes
TRN00833,EMP0265,Agile & Scrum,Coursera,2024-12-11,24,78,No
TRN00834,EMP0265,ML Fundamentals,Coursera,2024-07-25,20,95,No
TRN00835,EMP0265,Data Visualization,Udemy,2026-03-20,8,76,No
TRN00836,EMP0265,Cloud AWS,Internal L&D,2023-05-22,20,67,No
TRN00837,EMP0265,Power BI,LinkedIn Learning,2025-06-15,4,68,No
TRN00838,EMP0266,Agile & Scrum,Pluralsight,2024-07-05,40,64,No
TRN00839,EMP0266,Leadership 101,Udemy,2023-05-21,16,61,No
TRN00840,EMP0266,Power BI,Pluralsight,2023-11-05,20,62,No
TRN00841,EMP0267,Cybersecurity Basics,Coursera,2025-04-10,4,92,Yes
TRN00842,EMP0267,Project Management,Udemy,2024-10-24,40,80,Yes
TRN00843,EMP0267,ML Fundamentals,Udemy,2026-03-21,8,98,No
TRN00844,EMP0267,Communication Skills,LinkedIn Learning,2024-10-16,40,65,Yes
TRN00845,EMP0267,Python for Data,Udemy,2026-01-16,20,93,Yes
TRN00846,EMP0268,Power BI,LinkedIn Learning,2024-01-27,12,61,No
TRN00847,EMP0268,Project Management,LinkedIn Learning,2024-07-04,20,68,Yes
TRN00848,EMP0268,Design Thinking,Udemy,2025-04-03,40,63,Yes
TRN00849,EMP0269,ML Fundamentals,LinkedIn Learning,2025-02-18,4,62,No
TRN00850,EMP0269,Communication Skills,Udemy,2025-01-17,16,100,No
TRN00851,EMP0269,Project Management,Coursera,2024-06-29,16,88,Yes
TRN00852,EMP0269,Design Thinking,Udemy,2025-06-10,4,77,Yes
TRN00853,EMP0270,Project Management,LinkedIn Learning,2023-10-13,40,87,Yes
TRN00854,EMP0270,Cloud AWS,Udemy,2025-01-12,16,86,Yes
TRN00855,EMP0270,SQL Mastery,LinkedIn Learning,2026-02-10,40,70,No
TRN00856,EMP0271,Communication Skills,Pluralsight,2025-03-06,4,88,Yes
TRN00857,EMP0271,Cloud AWS,Internal L&D,2025-04-15,24,91,No
TRN00858,EMP0272,Python for Data,Internal L&D,2023-08-23,12,85,Yes
TRN00859,EMP0272,Design Thinking,Coursera,2026-01-08,24,76,Yes
TRN00860,EMP0273,Communication Skills,Coursera,2024-02-17,12,86,Yes
TRN00861,EMP0273,Cloud AWS,LinkedIn Learning,2025-08-26,40,68,No
TRN00862,EMP0273,Python for Data,Pluralsight,2024-08-28,24,95,No
TRN00863,EMP0273,Cybersecurity Basics,Internal L&D,2025-12-11,16,81,No
TRN00864,EMP0273,Design Thinking,Coursera,2024-01-05,8,79,No
TRN00865,EMP0274,Cloud AWS,LinkedIn Learning,2023-11-26,8,88,No
TRN00866,EMP0275,Design Thinking,Udemy,2024-03-05,16,82,No
TRN00867,EMP0276,Leadership 101,Internal L&D,2025-12-11,12,84,Yes
TRN00868,EMP0276,Excel Advanced,Internal L&D,2025-05-02,40,76,No
TRN00869,EMP0276,Agile & Scrum,LinkedIn Learning,2023-05-04,8,79,Yes
TRN00870,EMP0277,Project Management,Udemy,2025-07-01,24,79,Yes
TRN00871,EMP0277,Data Visualization,Udemy,2023-07-15,40,97,No
TRN00872,EMP0277,Excel Advanced,Internal L&D,2023-06-13,12,76,No
TRN00873,EMP0277,React JS,Internal L&D,2025-06-28,12,92,Yes
TRN00874,EMP0277,Cybersecurity Basics,Pluralsight,2023-04-28,4,95,No
TRN00875,EMP0278,Design Thinking,Internal L&D,2023-08-11,12,75,No
TRN00876,EMP0278,Cybersecurity Basics,Udemy,2026-03-04,16,64,No
TRN00877,EMP0278,Excel Advanced,Pluralsight,2024-07-26,12,77,Yes
TRN00878,EMP0278,Leadership 101,Coursera,2023-12-31,40,97,No
TRN00879,EMP0279,ML Fundamentals,LinkedIn Learning,2024-10-10,40,71,No
TRN00880,EMP0279,Data Visualization,Coursera,2024-02-19,20,76,Yes
TRN00881,EMP0280,Cybersecurity Basics,Pluralsight,2025-06-02,24,100,Yes
TRN00882,EMP0280,Communication Skills,Pluralsight,2025-10-16,16,72,No
TRN00883,EMP0280,ML Fundamentals,Udemy,2025-12-29,8,79,No
TRN00884,EMP0281,SQL Mastery,Pluralsight,2025-10-26,8,90,Yes
TRN00885,EMP0281,DevOps CI/CD,LinkedIn Learning,2025-07-16,4,85,Yes
TRN00886,EMP0281,Data Visualization,Coursera,2026-01-01,8,84,No
TRN00887,EMP0281,Project Management,Coursera,2024-07-29,24,93,No
TRN00888,EMP0282,SQL Mastery,Coursera,2024-06-20,4,96,Yes
TRN00889,EMP0282,Cloud AWS,Internal L&D,2025-08-23,16,67,No
TRN00890,EMP0283,Cloud AWS,Internal L&D,2026-03-11,24,96,No
TRN00891,EMP0283,Cybersecurity Basics,Internal L&D,2025-06-19,8,64,Yes
TRN00892,EMP0284,Cloud AWS,Pluralsight,2024-04-11,8,76,No
TRN00893,EMP0284,Project Management,Internal L&D,2025-08-20,16,62,No
TRN00894,EMP0285,Communication Skills,Internal L&D,2023-10-11,24,77,No
TRN00895,EMP0286,Excel Advanced,Pluralsight,2025-05-03,24,71,Yes
TRN00896,EMP0286,Leadership 101,LinkedIn Learning,2024-02-09,20,92,Yes
TRN00897,EMP0286,Data Visualization,Coursera,2024-04-27,12,64,Yes
TRN00898,EMP0286,Project Management,Internal L&D,2024-08-07,12,81,No
TRN00899,EMP0287,Cloud AWS,Coursera,2023-08-18,12,80,Yes
TRN00900,EMP0287,Project Management,Udemy,2023-08-19,20,67,No
TRN00901,EMP0288,Project Management,Coursera,2023-04-09,16,61,No
TRN00902,EMP0289,Project Management,Pluralsight,2024-05-14,40,67,Yes
TRN00903,EMP0289,Power BI,Coursera,2025-06-15,40,79,No
TRN00904,EMP0289,Communication Skills,Udemy,2024-05-12,8,85,No
TRN00905,EMP0289,React JS,Udemy,2025-03-20,12,60,Yes
TRN00906,EMP0290,Agile & Scrum,Udemy,2023-10-04,4,66,Yes
TRN00907,EMP0290,DevOps CI/CD,LinkedIn Learning,2024-12-10,24,85,No
TRN00908,EMP0290,Cybersecurity Basics,LinkedIn Learning,2023-08-25,12,97,No
TRN00909,EMP0291,Design Thinking,Coursera,2024-07-25,4,90,Yes
TRN00910,EMP0291,React JS,LinkedIn Learning,2025-08-30,20,68,No
TRN00911,EMP0291,DevOps CI/CD,Pluralsight,2024-05-11,8,62,Yes
TRN00912,EMP0291,Project Management,LinkedIn Learning,2024-06-22,12,79,No
TRN00913,EMP0291,Cybersecurity Basics,Internal L&D,2024-05-05,40,85,No
TRN00914,EMP0292,ML Fundamentals,Pluralsight,2025-09-09,8,86,No
TRN00915,EMP0292,DevOps CI/CD,LinkedIn Learning,2024-12-29,20,92,Yes
TRN00916,EMP0292,Power BI,Coursera,2025-07-10,8,68,No
TRN00917,EMP0292,Agile & Scrum,Internal L&D,2024-05-05,20,68,Yes
TRN00918,EMP0292,Communication Skills,Internal L&D,2023-05-23,12,68,No
TRN00919,EMP0293,Excel Advanced,Udemy,2023-09-09,4,99,Yes
TRN00920,EMP0293,DevOps CI/CD,LinkedIn Learning,2025-10-07,12,73,No
TRN00921,EMP0294,Communication Skills,Pluralsight,2025-12-20,20,70,Yes
TRN00922,EMP0295,Excel Advanced,Udemy,2023-12-05,4,68,Yes
TRN00923,EMP0295,Cybersecurity Basics,Udemy,2026-02-16,8,97,Yes
TRN00924,EMP0295,Agile & Scrum,Pluralsight,2023-06-28,4,83,Yes
TRN00925,EMP0295,ML Fundamentals,LinkedIn Learning,2025-03-21,12,91,No
TRN00926,EMP0295,Project Management,Coursera,2025-09-12,20,63,No
TRN00927,EMP0296,Python for Data,Coursera,2025-02-03,24,77,No
TRN00928,EMP0296,Agile & Scrum,Pluralsight,2023-05-10,4,72,Yes
TRN00929,EMP0296,DevOps CI/CD,LinkedIn Learning,2024-06-11,8,86,Yes
TRN00930,EMP0296,Cloud AWS,LinkedIn Learning,2026-01-10,12,72,Yes
TRN00931,EMP0296,Design Thinking,Coursera,2023-11-12,4,82,No
TRN00932,EMP0297,Data Visualization,Pluralsight,2023-12-28,20,65,No
TRN00933,EMP0297,Excel Advanced,Pluralsight,2023-11-12,20,84,Yes
TRN00934,EMP0297,Power BI,Pluralsight,2023-08-20,8,84,No
TRN00935,EMP0297,Cybersecurity Basics,Coursera,2026-01-03,24,86,No
TRN00936,EMP0297,Design Thinking,Pluralsight,2023-12-25,4,83,No
TRN00937,EMP0298,Power BI,Pluralsight,2023-05-31,4,86,Yes
TRN00938,EMP0298,Agile & Scrum,Coursera,2023-09-21,12,73,No
TRN00939,EMP0298,Design Thinking,Coursera,2025-06-02,12,73,No
TRN00940,EMP0298,Communication Skills,LinkedIn Learning,2024-05-10,24,77,No
TRN00941,EMP0298,Python for Data,Udemy,2023-12-20,4,60,No
TRN00942,EMP0299,SQL Mastery,LinkedIn Learning,2024-05-12,12,72,Yes
TRN00943,EMP0300,Agile & Scrum,LinkedIn Learning,2025-09-06,24,71,No
TRN00944,EMP0300,Leadership 101,Pluralsight,2023-05-11,40,79,No
TRN00945,EMP0300,Design Thinking,Coursera,2024-09-29,16,77,No
TRN00946,EMP0301,Data Visualization,Internal L&D,2024-06-09,8,78,Yes
TRN00947,EMP0301,SQL Mastery,LinkedIn Learning,2025-10-14,40,78,Yes
TRN00948,EMP0301,Power BI,Coursera,2024-05-29,12,72,Yes
TRN00949,EMP0302,Agile & Scrum,Pluralsight,2023-09-03,24,85,No
TRN00950,EMP0303,Project Management,LinkedIn Learning,2024-02-17,4,92,No
TRN00951,EMP0303,Power BI,Pluralsight,2025-05-20,20,62,No
TRN00952,EMP0303,Python for Data,Udemy,2024-09-20,8,97,Yes
TRN00953,EMP0303,Excel Advanced,Coursera,2026-02-23,24,93,Yes
TRN00954,EMP0304,Design Thinking,LinkedIn Learning,2025-12-22,20,72,Yes
TRN00955,EMP0304,DevOps CI/CD,Udemy,2025-12-10,4,73,No
TRN00956,EMP0304,ML Fundamentals,Internal L&D,2024-06-01,40,65,Yes
TRN00957,EMP0305,Data Visualization,Pluralsight,2025-07-22,20,79,No
TRN00958,EMP0306,Cybersecurity Basics,Internal L&D,2024-09-03,20,89,Yes
TRN00959,EMP0306,Python for Data,Udemy,2024-09-11,4,97,No
TRN00960,EMP0307,DevOps CI/CD,LinkedIn Learning,2023-05-05,12,63,Yes
TRN00961,EMP0308,SQL Mastery,Coursera,2026-01-12,4,60,Yes
TRN00962,EMP0308,Agile & Scrum,LinkedIn Learning,2026-02-23,40,82,No
TRN00963,EMP0308,Cybersecurity Basics,Coursera,2024-01-07,24,72,No
TRN00964,EMP0308,Design Thinking,Pluralsight,2023-11-04,4,97,No
TRN00965,EMP0308,Communication Skills,LinkedIn Learning,2024-03-09,12,80,Yes
TRN00966,EMP0309,Communication Skills,Coursera,2024-10-13,12,66,Yes
TRN00967,EMP0309,Leadership 101,Pluralsight,2025-10-04,4,64,Yes
TRN00968,EMP0309,Data Visualization,Pluralsight,2024-04-30,24,68,Yes
TRN00969,EMP0309,Design Thinking,LinkedIn Learning,2024-01-29,20,76,Yes
TRN00970,EMP0309,DevOps CI/CD,Internal L&D,2025-09-05,4,67,Yes
TRN00971,EMP0310,ML Fundamentals,LinkedIn Learning,2023-06-22,20,85,No
TRN00972,EMP0310,Agile & Scrum,Udemy,2025-07-26,40,64,Yes
TRN00973,EMP0310,Leadership 101,Coursera,2025-06-08,40,86,No
TRN00974,EMP0311,SQL Mastery,Coursera,2023-08-15,8,73,Yes
TRN00975,EMP0311,Cybersecurity Basics,Coursera,2023-12-13,16,89,No
TRN00976,EMP0311,Power BI,LinkedIn Learning,2025-04-30,24,84,No
TRN00977,EMP0311,Python for Data,Udemy,2024-04-22,8,95,Yes
TRN00978,EMP0311,React JS,Internal L&D,2026-02-03,12,66,No
TRN00979,EMP0312,Cloud AWS,Internal L&D,2024-03-18,8,92,Yes
TRN00980,EMP0312,DevOps CI/CD,Internal L&D,2024-09-27,24,98,Yes
TRN00981,EMP0313,Agile & Scrum,Pluralsight,2023-05-03,12,99,No
TRN00982,EMP0313,ML Fundamentals,Coursera,2024-10-10,8,93,Yes
TRN00983,EMP0313,Power BI,Internal L&D,2024-07-22,16,69,No
TRN00984,EMP0314,Project Management,Pluralsight,2026-01-04,8,89,No
TRN00985,EMP0314,Leadership 101,Coursera,2023-07-18,40,83,Yes
TRN00986,EMP0314,SQL Mastery,LinkedIn Learning,2025-11-04,40,96,Yes
TRN00987,EMP0314,Python for Data,LinkedIn Learning,2025-03-01,12,65,No
TRN00988,EMP0315,Data Visualization,Pluralsight,2025-08-21,12,75,No
TRN00989,EMP0315,Cybersecurity Basics,Udemy,2024-01-13,4,90,Yes
TRN00990,EMP0315,Design Thinking,Udemy,2024-12-21,8,76,No
TRN00991,EMP0315,DevOps CI/CD,Udemy,2023-08-06,24,70,Yes
TRN00992,EMP0315,Leadership 101,Udemy,2023-09-08,24,89,Yes
TRN00993,EMP0316,Data Visualization,Udemy,2024-09-25,8,62,No
TRN00994,EMP0316,Design Thinking,LinkedIn Learning,2026-01-04,20,67,Yes
TRN00995,EMP0316,SQL Mastery,Coursera,2024-11-21,12,84,Yes
TRN00996,EMP0316,Power BI,LinkedIn Learning,2024-07-14,4,73,Yes
TRN00997,EMP0317,Cloud AWS,Coursera,2024-06-28,4,60,Yes
TRN00998,EMP0317,React JS,Coursera,2024-06-10,4,78,No
TRN00999,EMP0318,React JS,Coursera,2024-11-03,8,89,No
TRN01000,EMP0318,Cloud AWS,Pluralsight,2023-06-01,40,83,No
TRN01001,EMP0318,Leadership 101,Pluralsight,2024-01-13,24,68,No
TRN01002,EMP0319,Python for Data,Coursera,2024-12-22,20,89,No
TRN01003,EMP0319,Power BI,Pluralsight,2025-11-29,20,97,No
TRN01004,EMP0319,Leadership 101,Udemy,2025-03-25,16,97,No
TRN01005,EMP0319,Communication Skills,LinkedIn Learning,2023-09-12,4,73,No
TRN01006,EMP0320,React JS,Internal L&D,2025-09-11,40,78,No
TRN01007,EMP0321,Leadership 101,Internal L&D,2024-04-29,8,96,No
TRN01008,EMP0321,Cybersecurity Basics,Pluralsight,2023-05-29,4,88,Yes
TRN01009,EMP0321,Project Management,Coursera,2024-11-04,16,80,Yes
TRN01010,EMP0321,React JS,LinkedIn Learning,2024-04-16,8,62,Yes
TRN01011,EMP0322,Leadership 101,Internal L&D,2023-04-22,24,78,Yes
TRN01012,EMP0323,Cybersecurity Basics,Pluralsight,2024-07-06,8,68,Yes
TRN01013,EMP0323,Data Visualization,Pluralsight,2023-09-28,40,79,Yes
TRN01014,EMP0324,SQL Mastery,Coursera,2025-09-05,16,99,No
TRN01015,EMP0324,Communication Skills,LinkedIn Learning,2024-12-25,16,97,No
TRN01016,EMP0325,Project Management,Coursera,2023-11-21,20,93,No
TRN01017,EMP0326,Design Thinking,Coursera,2023-12-03,12,91,No
TRN01018,EMP0327,Agile & Scrum,Coursera,2024-05-13,16,67,No
TRN01019,EMP0327,Excel Advanced,LinkedIn Learning,2026-02-25,16,60,Yes
TRN01020,EMP0328,Cloud AWS,Udemy,2024-12-15,12,92,No
TRN01021,EMP0328,Leadership 101,Internal L&D,2024-06-01,16,64,No
TRN01022,EMP0328,Agile & Scrum,Internal L&D,2026-01-17,12,61,Yes
TRN01023,EMP0328,Communication Skills,LinkedIn Learning,2025-11-02,24,64,Yes
TRN01024,EMP0329,ML Fundamentals,LinkedIn Learning,2023-07-15,4,69,No
TRN01025,EMP0329,Cloud AWS,LinkedIn Learning,2026-02-11,20,76,Yes
TRN01026,EMP0329,Power BI,LinkedIn Learning,2024-12-24,8,88,Yes
TRN01027,EMP0329,React JS,Internal L&D,2025-06-12,16,63,No
TRN01028,EMP0330,ML Fundamentals,Internal L&D,2023-12-01,4,94,Yes
TRN01029,EMP0330,Design Thinking,Internal L&D,2023-08-22,20,70,No
TRN01030,EMP0330,Communication Skills,Internal L&D,2024-06-30,12,88,No
TRN01031,EMP0331,Excel Advanced,Pluralsight,2024-11-23,12,68,No
TRN01032,EMP0331,Communication Skills,Udemy,2024-08-14,24,100,Yes
TRN01033,EMP0331,Project Management,Pluralsight,2026-03-05,4,80,No
TRN01034,EMP0332,Data Visualization,Udemy,2025-02-20,12,100,No
TRN01035,EMP0332,React JS,LinkedIn Learning,2025-09-19,20,89,Yes
TRN01036,EMP0332,Cloud AWS,Internal L&D,2023-08-08,16,88,Yes
TRN01037,EMP0332,SQL Mastery,LinkedIn Learning,2025-05-09,12,73,Yes
TRN01038,EMP0333,SQL Mastery,Internal L&D,2024-05-11,4,76,Yes
TRN01039,EMP0334,Project Management,LinkedIn Learning,2024-03-30,4,100,Yes
TRN01040,EMP0334,Leadership 101,Pluralsight,2025-04-06,16,88,Yes
TRN01041,EMP0335,Python for Data,LinkedIn Learning,2024-03-03,12,66,No
TRN01042,EMP0335,Data Visualization,Internal L&D,2024-11-17,24,94,No
TRN01043,EMP0335,React JS,Internal L&D,2025-01-21,8,85,No
TRN01044,EMP0336,Design Thinking,LinkedIn Learning,2024-06-21,16,79,Yes
TRN01045,EMP0336,Cybersecurity Basics,Pluralsight,2024-01-07,40,69,Yes
TRN01046,EMP0337,Leadership 101,LinkedIn Learning,2023-09-02,4,86,No
TRN01047,EMP0337,Python for Data,Pluralsight,2025-07-15,4,89,Yes
TRN01048,EMP0338,Data Visualization,Coursera,2024-10-27,20,89,No
TRN01049,EMP0338,Leadership 101,Coursera,2025-07-26,16,74,No
TRN01050,EMP0338,Cybersecurity Basics,Udemy,2025-05-10,4,63,Yes
TRN01051,EMP0338,Python for Data,Udemy,2023-12-02,24,96,No
TRN01052,EMP0339,Cybersecurity Basics,Udemy,2023-08-05,12,60,No
TRN01053,EMP0339,React JS,LinkedIn Learning,2023-06-30,16,96,No
TRN01054,EMP0339,Excel Advanced,Coursera,2025-02-21,20,93,No
TRN01055,EMP0339,Agile & Scrum,LinkedIn Learning,2025-03-25,8,73,No
TRN01056,EMP0340,Excel Advanced,Coursera,2023-05-31,40,62,Yes
TRN01057,EMP0340,Cloud AWS,Coursera,2025-05-13,16,85,Yes
